 ,transaction_id,date,keyword,amount_cad,direction,transaction_type,merchant_or_source,description,account,scope,status,mixed_halal_pct,haram_portion_disposed,cost_basis_cad,related_reference,missing_information,parse_line
Faris Mahmood,FMR000385,2025-08-17,freelance_income,$431.44,inflow,income,Freelance Client,,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-08-17 | freelance_income | 431.44 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000597,2025-08-24,business_advertising,$104.33,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-24 | business_advertising | 104.33 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000359,2025-08-26,software_subscription,$57.50,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-26 | software_subscription | 57.50 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000430,2025-08-26,phone_bill,$75.33,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-26 | phone_bill | 75.33 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000188,2025-08-28,transportation,$32.05,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-28 | transportation | 32.05 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000001,2025-08-29,salary_income,"$3,550.00",inflow,income,Employer Payroll,Monthly employment salary,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-08-29 | salary_income | 3550.00 | inflow | income | Employer Payroll | Monthly employment salary
Faris Mahmood,FMR000439,2025-08-29,phone_bill,$67.96,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-29 | phone_bill | 67.96 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000378,2025-08-30,business_advertising,$198.92,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-30 | business_advertising | 198.92 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000093,2025-08-31,business_advertising,$66.18,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-31 | business_advertising | 66.18 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000223,2025-08-31,freelance_income,$420.04,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-08-31 | freelance_income | 420.04 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000340,2025-08-31,business_sale_income,$318.20,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-31 | business_sale_income | 318.20 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000316,2025-09-02,software_subscription,$27.65,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-02 | software_subscription | 27.65 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000477,2025-09-02,business_advertising,$224.86,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-02 | business_advertising | 224.86 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMS0001,2025-09-02,salary_income,"$3,450.00",inflow,income,Employer Payroll,Monthly employment salary,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-02 | salary_income | 3450.00 | inflow | income | Employer Payroll | Monthly employment salary
Faris Mahmood,FMR000038,2025-09-03,business_supplies,$67.08,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-03 | business_supplies | 67.08 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000154,2025-09-03,business_supplies,$77.85,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-03 | business_supplies | 77.85 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000514,2025-09-03,tip_income,$26.77,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-03 | tip_income | 26.77 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000196,2025-09-04,business_supplies,$23.81,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-04 | business_supplies | 23.81 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000345,2025-09-04,phone_bill,$107.08,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-04 | phone_bill | 107.08 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000247,2025-09-05,tip_income,$45.99,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-05 | tip_income | 45.99 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000052,2025-09-06,software_subscription,$26.18,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-06 | software_subscription | 26.18 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000081,2025-09-06,business_advertising,$233.67,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-06 | business_advertising | 233.67 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000180,2025-09-06,groceries,$36.11,outflow,expense,Local Grocer,Household grocery purchase,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-06 | groceries | 36.11 | outflow | expense | Local Grocer | Household grocery purchase
Faris Mahmood,FMR000175,2025-09-07,software_subscription,$77.29,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-07 | software_subscription | 77.29 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000210,2025-09-07,transportation,$73.30,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-07 | transportation | 73.30 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000590,2025-09-07,business_sale_income,$63.17,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-07 | business_sale_income | 63.17 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000120,2025-09-08,software_subscription,$82.30,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-08 | software_subscription | 82.30 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000161,2025-09-09,transportation,$22.63,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-09 | transportation | 22.63 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000218,2025-09-09,transportation,$60.33,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-09 | transportation | 60.33 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000335,2025-09-09,business_advertising,$142.20,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-09 | business_advertising | 142.20 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000390,2025-09-09,groceries,$93.44,outflow,expense,Local Grocer,Household grocery purchase,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-09 | groceries | 93.44 | outflow | expense | Local Grocer | Household grocery purchase
Faris Mahmood,FMR000398,2025-09-09,restaurant_meal,$70.82,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-09 | restaurant_meal | 70.82 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000546,2025-09-09,business_sale_income,$306.03,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-09 | business_sale_income | 306.03 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000404,2025-09-10,business_advertising,$75.29,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-10 | business_advertising | 75.29 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000509,2025-09-10,groceries,$40.01,outflow,expense,Local Grocer,Household grocery purchase,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-10 | groceries | 40.01 | outflow | expense | Local Grocer | Household grocery purchase
Faris Mahmood,FMR000103,2025-09-11,tip_income,$86.18,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-11 | tip_income | 86.18 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000046,2025-09-13,business_sale_income,$94.66,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-13 | business_sale_income | 94.66 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000139,2025-09-13,business_advertising,$65.41,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-13 | business_advertising | 65.41 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000333,2025-09-13,electricity_bill,$91.52,outflow,expense,Electric Utility,Monthly electricity bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-13 | electricity_bill | 91.52 | outflow | expense | Electric Utility | Monthly electricity bill
Faris Mahmood,FMR000344,2025-09-13,business_advertising,$135.42,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-13 | business_advertising | 135.42 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000138,2025-09-14,business_advertising,$65.70,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-14 | business_advertising | 65.70 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMS0002,2025-09-14,freelance_income,$825.00,inflow,income,Design Client,Freelance design project payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-14 | freelance_income | 825.00 | inflow | income | Design Client | Freelance design project payment
Faris Mahmood,FMR000145,2025-09-15,business_sale_income,$244.07,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-15 | business_sale_income | 244.07 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000252,2025-09-15,personal_spending,$174.34,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-15 | personal_spending | 174.34 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000497,2025-09-17,phone_bill,$51.20,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-17 | phone_bill | 51.20 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000503,2025-09-17,phone_bill,$115.07,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-17 | phone_bill | 115.07 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000230,2025-09-18,tip_income,$80.76,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-18 | tip_income | 80.76 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000266,2025-09-18,phone_bill,$52.46,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-18 | phone_bill | 52.46 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000479,2025-09-18,business_sale_income,$205.11,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-18 | business_sale_income | 205.11 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000534,2025-09-19,tip_income,$58.16,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-19 | tip_income | 58.16 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000537,2025-09-19,restaurant_meal,$83.82,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-19 | restaurant_meal | 83.82 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000442,2025-09-20,phone_bill,$72.20,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-20 | phone_bill | 72.20 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000347,2025-09-21,transportation,$83.99,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-21 | transportation | 83.99 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000457,2025-09-22,business_sale_income,$413.64,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-22 | business_sale_income | 413.64 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000415,2025-09-23,business_advertising,$221.34,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-09-23 | business_advertising | 221.34 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMH001,2025-09-25,interest_income,$58.25,inflow,income,Bank,Interest income credited by bank,FM_SAVINGS,personal,posted,,,,,,2025-09-25 | interest_income | 58.25 | inflow | income | Bank | Interest income credited by bank
Faris Mahmood,FMR000017,2025-09-27,groceries,$155.02,outflow,expense,Local Grocer,Household grocery purchase,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-27 | groceries | 155.02 | outflow | expense | Local Grocer | Household grocery purchase
Faris Mahmood,FMR000337,2025-09-27,transportation,$49.08,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-27 | transportation | 49.08 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000560,2025-09-27,electricity_bill,$139.41,outflow,expense,Electric Utility,Monthly electricity bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-27 | electricity_bill | 139.41 | outflow | expense | Electric Utility | Monthly electricity bill
Faris Mahmood,FMR000002,2025-09-28,salary_income,"$3,550.00",inflow,income,Employer Payroll,Monthly employment salary,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-28 | salary_income | 3550.00 | inflow | income | Employer Payroll | Monthly employment salary
Faris Mahmood,FMR000070,2025-09-28,personal_spending,$88.26,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-28 | personal_spending | 88.26 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000082,2025-09-28,rental_income,$973.37,inflow,income,Tenant,Residential rent payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-28 | rental_income | 973.37 | inflow | income | Tenant | Residential rent payment
Faris Mahmood,FMR000484,2025-09-28,personal_spending,$58.44,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-28 | personal_spending | 58.44 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000541,2025-09-29,tip_income,$46.14,inflow,income,Customer Tips,Tips from permissible work,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-09-29 | tip_income | 46.14 | inflow | income | Customer Tips | Tips from permissible work
Faris Mahmood,FMR000019,2025-09-30,transportation,$23.99,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-09-30 | transportation | 23.99 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000068,2025-10-01,business_supplies,$29.89,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-01 | business_supplies | 29.89 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000214,2025-10-01,rental_income,$917.24,inflow,income,Tenant,Residential rent payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-01 | rental_income | 917.24 | inflow | income | Tenant | Residential rent payment
Faris Mahmood,FMR000604,2025-10-01,phone_bill,$85.21,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-01 | phone_bill | 85.21 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMS0003,2025-10-01,rental_income,"$1,550.00",inflow,income,Tenant,Monthly residential rent received,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-01 | rental_income | 1550.00 | inflow | income | Tenant | Monthly residential rent received
Faris Mahmood,FMR000176,2025-10-02,transportation,$41.25,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-02 | transportation | 41.25 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000124,2025-10-04,software_subscription,$81.60,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-04 | software_subscription | 81.60 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000565,2025-10-04,freelance_income,$573.10,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-04 | freelance_income | 573.10 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000361,2025-10-05,phone_bill,$71.51,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-05 | phone_bill | 71.51 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000575,2025-10-06,rental_income,"$1,599.89",inflow,income,Tenant,Residential rent payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-06 | rental_income | 1599.89 | inflow | income | Tenant | Residential rent payment
Faris Mahmood,FMR000074,2025-10-07,restaurant_meal,$62.98,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-07 | restaurant_meal | 62.98 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000034,2025-10-08,freelance_income,$117.69,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-08 | freelance_income | 117.69 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000309,2025-10-08,rental_income,$687.24,inflow,income,Tenant,Residential rent payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-08 | rental_income | 687.24 | inflow | income | Tenant | Residential rent payment
Faris Mahmood,FMR000376,2025-10-09,business_advertising,$38.11,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-09 | business_advertising | 38.11 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000412,2025-10-09,personal_spending,$181.96,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-09 | personal_spending | 181.96 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000558,2025-10-09,phone_bill,$59.63,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-09 | phone_bill | 59.63 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMS0004,2025-10-09,scholarship_income,"$1,200.00",inflow,income,Community Foundation,Education scholarship payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-09 | scholarship_income | 1200.00 | inflow | income | Community Foundation | Education scholarship payment
Faris Mahmood,FMR000013,2025-10-11,interest_income,$10.20,inflow,income,Bank,Savings account interest credit,FM_SAVINGS,personal,posted,,,,,,2025-10-11 | interest_income | 10.20 | inflow | income | Bank | Savings account interest credit
Faris Mahmood,FMR000143,2025-10-11,software_subscription,$31.30,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-11 | software_subscription | 31.30 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000389,2025-10-11,business_advertising,$96.08,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-11 | business_advertising | 96.08 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000101,2025-10-12,business_sale_income,$406.56,inflow,income,Online Customer,Ordinary permissible product sale,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-12 | business_sale_income | 406.56 | inflow | income | Online Customer | Ordinary permissible product sale
Faris Mahmood,FMR000087,2025-10-13,restaurant_meal,$84.60,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-13 | restaurant_meal | 84.60 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000272,2025-10-13,personal_spending,$143.01,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-13 | personal_spending | 143.01 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000360,2025-10-13,electricity_bill,$151.66,outflow,expense,Electric Utility,Monthly electricity bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-13 | electricity_bill | 151.66 | outflow | expense | Electric Utility | Monthly electricity bill
Faris Mahmood,FMR000581,2025-10-13,transportation,$31.12,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-13 | transportation | 31.12 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000589,2025-10-13,restaurant_meal,$72.07,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-13 | restaurant_meal | 72.07 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000232,2025-10-14,phone_bill,$67.92,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-14 | phone_bill | 67.92 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000451,2025-10-14,software_subscription,$42.41,outflow,expense,Software Vendor,Software subscription,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-14 | software_subscription | 42.41 | outflow | expense | Software Vendor | Software subscription
Faris Mahmood,FMR000530,2025-10-15,restaurant_meal,$55.82,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-15 | restaurant_meal | 55.82 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000182,2025-10-16,restaurant_meal,$72.78,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-16 | restaurant_meal | 72.78 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000268,2025-10-16,freelance_income,$667.94,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-16 | freelance_income | 667.94 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000109,2025-10-17,electricity_bill,$118.87,outflow,expense,Electric Utility,Monthly electricity bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-17 | electricity_bill | 118.87 | outflow | expense | Electric Utility | Monthly electricity bill
Faris Mahmood,FMR000137,2025-10-18,business_supplies,$213.14,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-10-18 | business_supplies | 213.14 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000314,2025-10-18,freelance_income,$609.26,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-18 | freelance_income | 609.26 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000407,2025-10-18,personal_spending,$125.60,outflow,expense,Retail Store,Personal spending,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-18 | personal_spending | 125.60 | outflow | expense | Retail Store | Personal spending
Faris Mahmood,FMR000136,2025-10-19,freelance_income,$477.80,inflow,income,Freelance Client,Freelance professional work payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-10-19 | freelance_income | 477.80 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000441,2025-10-19,phone_bill,$48.37,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-10-19 | phone_bill | 48.37 | outflow | expense | Mobile Provider | Monthly phone bill
